98.345,141,-9,4
98.35,468,8,1
98.35,468,3,5
98.35,468,3,1
98.35,468,4,2
98.35,468,2,3
98.35,468,1,3
98.35,468,1,4
98.35,468,2,3
98.35,468,4,1
98.35,468,2,4
98.355,1334,-5,2
98.355,1334,-4,1
98.355,1334,-1,4
98.355,1334,-2,3
98.355,1334,-1,4
98.355,1334,-6,4
98.355,1334,-15,4
98.355,1334,-4,3
98.355,1334,-2,4
98.355,1334,-3,5
98.36,194,1,2
98.36,194,11,3
98.36,194,1,5
98.36,194,1,5
98.36,194,3,3
98.36,194,1,5
98.36,194,2,3
98.36,194,1,5
98.36,194,1,5
98.36,194,1,4
98.365,-259,-6,5
98.365,-259,-11,3
98.365,-259,-3,4
98.365,-259,-7,5
98.365,-259,-6,4
98.365,-259,-2,1
98.365,-259,-1,4
98.365,-259,-2,4
98.365,-259,-18,4
98.365,-259,-1,4
98.37,-1398,-20,2
98.355,1352,18,1
98.355,1334,-18,1
98.36,171,-1,5
98.36,172,-3,4
98.36,172,-2,1
98.36,172,-1,1
98.36,172,-4,5
98.36,172,-2,3
98.36,172,-1,3
98.36,172,-1,3
98.36,172,-1,1
98.36,172,-3,1
98.36,172,-4,3
98.365,-250,-9,1
98.365,-244,-6,1
98.37,-1390,-8,1
98.37,-1365,-5,3
98.37,-1365,-1,5
98.37,-1365,-2,3
98.37,-1365,-2,4
98.37,-1365,-2,1
98.37,-1365,-2,2
98.37,-1365,-1,1
98.37,-1365,-4,3
98.37,-1365,-2,2
98.37,-1365,-4,4
98.375,-196,3,5
98.375,-196,1,3
98.375,-196,6,2
98.375,-196,1,3
98.375,-196,2,5
98.375,-196,1,4
98.375,-196,2,5
98.375,-196,2,3
98.375,-196,5,2
98.375,-196,2,3
98.38,-112,-4,1
98.38,-112,-2,3
98.38,-112,-1,2
98.38,-112,-1,3
98.38,-112,-3,5
98.38,-112,-2,3
98.38,-112,-3,2
98.38,-112,-1,5
98.38,-112,-1,3
98.38,-112,-7,4
98.385,-62,3,5
98.385,-62,5,2
98.385,-62,1,1
98.385,-62,1,1
98.385,-62,5,1
98.385,-62,1,2
98.385,-62,2,3
98.385,-62,3,4
98.385,-62,1,3
98.385,-62,3,1
98.35,478,10,3
98.355,1324,-10,2
98.37,-1362,-3,4
98.355,1341,17,2
98.36,173,2,2
98.37,-1307,-1,5
98.37,-1307,-4,1
98.37,-1307,-5,1
98.37,-1307,-14,1
98.37,-1307,-5,2
98.37,-1307,-5,4
98.37,-1307,-4,1
98.37,-1307,-1,1
98.37,-1307,-8,5
98.37,-1307,-8,4
98.35,468,-10,1
98.355,1356,15,4
98.365,-255,11,1
98.355,1366,10,5
98.37,-1321,14,4
98.355,1376,10,3
98.37,-1326,5,5
98.34,272,-2,2
98.34,272,-2,1
98.34,272,-1,2
98.34,272,-9,1
98.34,272,-1,2
98.34,272,-2,2
98.34,272,-1,1
98.34,272,-6,3
98.34,272,-2,2
98.34,272,-1,3
98.355,1367,-9,1
98.36,172,-1,5
98.365,-354,2,1
98.365,-354,28,5
98.365,-354,4,5
98.365,-354,8,4
98.365,-354,15,3
98.365,-354,12,4
98.365,-354,8,1
98.365,-354,1,2
98.365,-354,3,1
98.365,-354,18,2
98.355,1347,-20,3
98.36,171,-1,1
98.365,-364,10,1
98.37,-1349,4,1
98.37,-1349,5,5
98.37,-1349,1,3
98.37,-1349,1,2
98.37,-1349,1,5
98.37,-1349,3,3
98.37,-1349,2,3
98.37,-1349,2,4
98.37,-1349,1,4
98.37,-1349,3,4
98.38,-137,1,4
98.38,-137,9,4
98.38,-137,2,4
98.38,-137,4,5
98.38,-137,3,5
98.38,-137,2,4
98.38,-137,1,3
98.38,-137,1,2
98.38,-137,1,1
98.38,-137,1,1
98.385,-37,-2,5
98.385,-37,-2,4
98.385,-37,-1,5
98.385,-37,-3,3
98.385,-37,-4,3
98.385,-37,-2,3
98.385,-37,-4,4
98.385,-37,-4,3
98.385,-37,-1,1
98.385,-37,-2,3
98.36,170,-1,2
98.365,-382,18,1
98.37,-1370,2,2
98.37,-1370,1,4
98.37,-1370,2,4
98.37,-1370,1,2
98.37,-1370,2,4
98.37,-1370,1,3
98.37,-1370,1,1
98.37,-1370,8,4
98.37,-1370,2,5
98.37,-1370,1,1
98.34,296,1,5
98.34,296,3,5
98.34,296,4,1
98.34,296,1,5
98.34,296,1,4
98.34,296,5,5
98.34,296,5,4
98.34,296,2,2
98.34,296,1,1
98.34,296,1,4
98.36,146,-5,4
98.36,146,-2,1
98.36,146,-4,5
98.36,146,-1,3
98.36,146,-2,4
98.36,146,-2,3
98.36,146,-1,3
98.36,146,-5,4
98.36,146,-1,2
98.36,146,-1,1
98.36,142,-4,2
98.365,-394,12,5
98.37,-1375,5,3
98.38,-135,-2,5
98.365,-399,5,1
98.345,159,18,1
98.35,450,-18,1
98.37,-1387,12,5
98.375,-171,-1,3
98.375,-171,-1,4
98.375,-171,-2,3
98.375,-171,-2,4
98.375,-171,-7,3
98.375,-171,-4,5
98.375,-171,-1,1
98.375,-171,-2,4
98.375,-171,-4,4
98.375,-171,-1,3
98.355,1336,-11,1
98.37,-1367,-20,1
98.355,1335,-1,4
